Region,date,commodity,price
ACEH,2020-08-15,"Chili (bird's eye, green)",44698.71833333333
ACEH,2020-08-15,Chili (red),35548.075000000004
ACEH,2020-08-15,"Chili (red, curly)",34355.7675
ACEH,2020-08-15,Eggs,26378.46
ACEH,2020-08-15,Eggs (broiler),26299.358333333334
ACEH,2020-08-15,Garlic,20019.233333333334
ACEH,2020-08-15,Garlic (medium),20019.233333333334
ACEH,2020-08-15,Meat (beef),137538.462
ACEH,2020-08-15,"Meat (beef, first quality)",142615.38400000002
ACEH,2020-08-15,"Meat (beef, second quality)",124615.38
ACEH,2020-08-15,Meat (chicken),26611.54
ACEH,2020-08-15,"Meat (chicken, broiler)",28426.924
ACEH,2020-08-15,Oil (vegetable),13730.768333333333
ACEH,2020-08-15,"Oil (vegetable, bulk)",11253.846
ACEH,2020-08-15,"Oil (vegetable, packaged)",14932.692500000001
ACEH,2020-08-15,Onions (shallot),32717.946666666667
ACEH,2020-08-15,"Onions (shallot, medium)",32361.536
ACEH,2020-08-15,Rice,10075.9625
ACEH,2020-08-15,Rice (high quality),11034.232
ACEH,2020-08-15,Rice (low quality),9745.192500000001
ACEH,2020-08-15,Rice (medium quality),10156.41
ACEH,2020-08-15,Sugar,14950.0
ACEH,2020-08-15,Sugar (local),13484.616
ACEH,2020-08-15,Sugar (premium),20000.0
ACEH,2020-09-15,Chili (bird's eye),34511.335
ACEH,2020-09-15,"Chili (bird's eye, green)",34511.335
ACEH,2020-09-15,Chili (red),27083.333333333332
ACEH,2020-09-15,"Chili (red, curly)",25764.706666666665
ACEH,2020-09-15,Eggs,23862.376666666667
ACEH,2020-09-15,Eggs (broiler),23454.852
ACEH,2020-09-15,Garlic,23441.178
ACEH,2020-09-15,Garlic (medium),23471.815000000002
ACEH,2020-09-15,Meat (beef),127500.0
ACEH,2020-09-15,"Meat (beef, first quality)",133000.0
ACEH,2020-09-15,"Meat (beef, second quality)",112500.0
ACEH,2020-09-15,Meat (chicken),24261.03
ACEH,2020-09-15,"Meat (chicken, broiler)",25268.2
ACEH,2020-09-15,Oil (vegetable),13700.0
ACEH,2020-09-15,"Oil (vegetable, bulk)",11858.824
ACEH,2020-09-15,"Oil (vegetable, packaged)",14833.333333333334
ACEH,2020-09-15,Onions (shallot),28517.647999999997
ACEH,2020-09-15,"Onions (shallot, medium)",28890.625
ACEH,2020-09-15,Rice,10117.648
ACEH,2020-09-15,Rice (high quality),11009.704000000002
ACEH,2020-09-15,Rice (low quality),9515.686666666666
ACEH,2020-09-15,Rice (medium quality),10158.825
ACEH,2020-09-15,Sugar,15014.154
ACEH,2020-09-15,Sugar (local),13802.083333333334
ACEH,2020-09-15,Sugar (premium),17897.06
ACEH,2020-10-15,Chili (bird's eye),36184.5225
ACEH,2020-10-15,"Chili (bird's eye, green)",35682.53666666667
ACEH,2020-10-15,Chili (red),43038.096000000005
ACEH,2020-10-15,"Chili (red, curly)",43972.223333333335
ACEH,2020-10-15,Eggs,24138.095999999998
ACEH,2020-10-15,Eggs (broiler),23797.62
ACEH,2020-10-15,Garlic,23956.350000000002
ACEH,2020-10-15,Garlic (medium),23839.2875
ACEH,2020-10-15,Meat (beef),128285.714
ACEH,2020-10-15,"Meat (beef, first quality)",133285.714
ACEH,2020-10-15,"Meat (beef, second quality)",105000.0
ACEH,2020-10-15,Meat (chicken),27277.144
ACEH,2020-10-15,"Meat (chicken, broiler)",26330.16
ACEH,2020-10-15,Oil (vegetable),14114.761999999999
ACEH,2020-10-15,"Oil (vegetable, bulk)",12447.619999999999
ACEH,2020-10-15,"Oil (vegetable, packaged)",14867.063333333334
ACEH,2020-10-15,Onions (shallot),34825.39666666667
ACEH,2020-10-15,"Onions (shallot, medium)",34990.476
ACEH,2020-10-15,Rice,10222.380000000001
ACEH,2020-10-15,Rice (high quality),11135.715
ACEH,2020-10-15,Rice (low quality),9521.23
ACEH,2020-10-15,Rice (medium quality),10151.19
ACEH,2020-10-15,Sugar,14650.0
ACEH,2020-10-15,Sugar (local),13500.0
ACEH,2020-10-15,Sugar (premium),18000.0
ACEH,2020-11-15,Chili (bird's eye),35738.0975
ACEH,2020-11-15,"Chili (bird's eye, green)",36052.382
ACEH,2020-11-15,Chili (red),40452.380000000005
ACEH,2020-11-15,"Chili (red, curly)",40714.286
ACEH,2020-11-15,Eggs,25190.475
ACEH,2020-11-15,Eggs (broiler),24694.0475
ACEH,2020-11-15,Garlic,25961.902
ACEH,2020-11-15,Garlic (medium),25409.522
ACEH,2020-11-15,Meat (beef),128000.0
ACEH,2020-11-15,"Meat (beef, first quality)",133000.0
ACEH,2020-11-15,"Meat (beef, second quality)",105000.0
ACEH,2020-11-15,Meat (chicken),30223.806
ACEH,2020-11-15,"Meat (chicken, broiler)",29998.013333333332
ACEH,2020-11-15,Oil (vegetable),14141.904
ACEH,2020-11-15,"Oil (vegetable, bulk)",12357.142
ACEH,2020-11-15,"Oil (vegetable, packaged)",14923.810000000001
ACEH,2020-11-15,Onions (shallot),37047.62
ACEH,2020-11-15,"Onions (shallot, medium)",37857.144
ACEH,2020-11-15,Rice,10180.475999999999
ACEH,2020-11-15,Rice (high quality),10872.62
ACEH,2020-11-15,Rice (low quality),9518.451666666666
ACEH,2020-11-15,Rice (medium quality),9983.9275
ACEH,2020-11-15,Sugar,14880.951666666666
ACEH,2020-11-15,Sugar (local),13801.586666666668
ACEH,2020-11-15,Sugar (premium),17791.6675
ACEH,2020-12-15,Chili (bird's eye),50952.634
ACEH,2020-12-15,"Chili (bird's eye, green)",52967.1075
ACEH,2020-12-15,Chili (red),46826.318
ACEH,2020-12-15,"Chili (red, curly)",47820.176666666666
ACEH,2020-12-15,Eggs,28343.4225
ACEH,2020-12-15,Eggs (broiler),28137.370000000003
ACEH,2020-12-15,Garlic,24875.0
ACEH,2020-12-15,Garlic (medium),25500.0
ACEH,2020-12-15,Meat (beef),132013.158
ACEH,2020-12-15,"Meat (beef, first quality)",138947.37
ACEH,2020-12-15,"Meat (beef, second quality)",116842.10500000001
ACEH,2020-12-15,Meat (chicken),31916.67
ACEH,2020-12-15,"Meat (chicken, broiler)",29392.106
ACEH,2020-12-15,Oil (vegetable),14277.895999999999
ACEH,2020-12-15,"Oil (vegetable, bulk)",12404.605
ACEH,2020-12-15,"Oil (vegetable, packaged)",15044.735999999999
ACEH,2020-12-15,Onions (shallot),37321.052
ACEH,2020-12-15,"Onions (shallot, medium)",37073.683999999994
ACEH,2020-12-15,Rice,10217.983333333334
ACEH,2020-12-15,Rice (high quality),10983.99
ACEH,2020-12-15,Rice (low quality),9523.683333333332
ACEH,2020-12-15,Rice (medium quality),10173.158
ACEH,2020-12-15,Sugar,15523.025
ACEH,2020-12-15,Sugar (local),13800.0
ACEH,2020-12-15,Sugar (premium),17927.6325
ACEH,2021-01-15,Chili (bird's eye),63887.5
ACEH,2021-01-15,"Chili (bird's eye, green)",63887.5
ACEH,2021-01-15,Chili (red),41708.333333333336
ACEH,2021-01-15,"Chili (red, curly)",43437.5
ACEH,2021-01-15,Eggs,28009.166666666668
ACEH,2021-01-15,Eggs (broiler),28009.166666666668
ACEH,2021-01-15,Garlic,24870.833333333332
ACEH,2021-01-15,Garlic (medium),24490.0
ACEH,2021-01-15,Meat (beef),135000.0
ACEH,2021-01-15,"Meat (beef, first quality)",141000.0
ACEH,2021-01-15,"Meat (beef, second quality)",120000.0
ACEH,2021-01-15,Meat (chicken),31045.0
ACEH,2021-01-15,"Meat (chicken, broiler)",30575.0
